bowler,Wickets
A Badoni,2
A Flintoff,2
A Kamboj,2
MA Khote,2
SD Chitnis,2
FA Allen,2
GD Phillips,2
MK Lomror,2
Abdul Samad,2
LJ Wright,2
AU Rashid,2
DNT Zoysa,2
SC Kuggeleijn,2
CL White,1
CJ McKay,1
Mashrafe Mortaza,1
AA Kazi,1
Y Prithvi Raj,1
A Nel,1
AA Jhunjhunwala,1
AJ Finch,1
AJ Hosein,1
D Brevis,1
D Jansen,1
BMAJ Mendis,1
P Dubey,1
PM Sarvesh Kumar,1
TP Sudhindra,1
R Powell,1
V Viyaskanth,1
RG More,1
RJ Gleeson,1
NB Singh,1
D Salunkhe,1
DJM Short,1
LB Williams,1
L Wood,1
AM Rahane,1
SS Agarwal,1
MK Tiwary,1
SA Abbott,1
S Vidyut,1
DJ Mitchell,1
DB Ravi Teja,1
SE Rutherford,1
SB Joshi,1
FY Fazal,1
M Siddharth,1
LMP Simmons,1
LI Meriwala,1
LA Carseldine,1
SS Mundhe,1
SSB Magala,1
SS Sarkar,1
Shashank Singh,1
KT Maphaka,1
GS Sandhu,1
GR Napier,1
GH Vihari,1
IC Porel,1
AC Gilchrist,1
AA Noffke,1
T Henderson,1
AC Voges,1
